vehicle_id,ultimo_timestamp,ultimo_distrito,ultima_zona
214,2025-01-29 07:53:57,Staten Island,South Beach/Dongan Hills
213,2025-01-31 22:31:00,Bronx,Soundview/Castle Hill
212,2025-01-31 18:07:54,Bronx,Soundview/Bruckner
211,2025-01-31 23:58:28,Manhattan,SoHo
210,2025-01-31 23:16:17,Brooklyn,Sheepshead Bay
21,2025-01-31 22:40:00,Brooklyn,Bensonhurst East
209,2025-01-31 23:58:49,Manhattan,Seaport
208,2025-01-31 17:48:19,Bronx,Schuylerville/Edgewater Park
207,2025-01-31 21:45:48,Queens,Saint Michaels Cemetery/Woodside
206,2025-01-25 07:50:53,Staten Island,Saint George/New Brighton
205,2025-01-31 23:40:31,Queens,Saint Albans
204,2025-01-20 00:03:29,Staten Island,Rossville/Woodrow
203,2025-01-31 22:37:16,Queens,Rosedale
202,2025-01-31 23:38:32,Manhattan,Roosevelt Island
201,2025-01-31 17:01:48,Queens,Rockaway Park
200,2025-01-31 18:31:36,Bronx,Riverdale/North Riverdale/Fieldston
20,2025-01-31 23:35:00,Bronx,Belmont
2,2025-01-22 10:48:26,Queens,Jamaica Bay
199,2025-01-08 18:00:45,Bronx,Rikers Island
198,2025-01-31 23:00:15,Queens,Ridgewood
197,2025-01-31 23:52:09,Queens,Richmond Hill
196,2025-01-31 23:52:03,Queens,Rego Park
195,2025-01-31 23:11:47,Brooklyn,Red Hook
194,2025-01-31 07:00:02,Manhattan,Randalls Island
193,2025-01-31 23:56:59,Queens,Queensbridge/Ravenswood
192,2025-01-31 22:46:22,Queens,Queensboro Hill
191,2025-01-31 23:09:27,Queens,Queens Village
190,2025-01-31 23:21:28,Brooklyn,Prospect Park
19,2025-01-31 23:16:28,Queens,Bellerose
189,2025-01-31 23:57:11,Brooklyn,Prospect Heights
188,2025-01-31 23:44:34,Brooklyn,Prospect-Lefferts Gardens
187,2025-01-28 08:46:05,Staten Island,Port Richmond
186,2025-01-31 23:58:09,Manhattan,Penn Station/Madison Sq West
185,2025-01-31 23:15:53,Bronx,Pelham Parkway
184,2025-01-25 19:14:47,Bronx,Pelham Bay Park
183,2025-01-31 21:52:00,Bronx,Pelham Bay
182,2025-01-31 22:50:08,Bronx,Parkchester
181,2025-01-31 23:57:12,Brooklyn,Park Slope
180,2025-01-31 23:20:38,Queens,Ozone Park
18,2025-01-31 22:41:22,Bronx,Bedford Park
179,2025-01-31 23:46:39,Queens,Old Astoria
178,2025-01-31 14:52:26,Brooklyn,Ocean Parkway South
177,2025-01-31 23:26:19,Brooklyn,Ocean Hill
176,2025-01-20 07:03:52,Staten Island,Oakwood
175,2025-01-31 23:04:44,Queens,Oakland Gardens
174,2025-01-31 18:56:17,Bronx,Norwood
173,2025-01-31 22:36:28,Queens,North Corona
172,2025-01-28 08:13:00,Staten Island,New Dorp/Midland Beach
171,2025-01-31 19:33:18,Queens,Murray Hill-Queens
170,2025-01-31 23:59:25,Manhattan,Murray Hill
17,2025-01-31 23:51:58,Brooklyn,Bedford
169,2025-01-31 21:59:17,Bronx,Mount Hope
168,2025-01-31 23:30:46,Bronx,Mott Haven/Port Morris
167,2025-01-31 22:33:27,Bronx,Morrisania/Melrose
166,2025-01-31 23:54:27,Manhattan,Morningside Heights
165,2025-01-31 22:47:06,Brooklyn,Midwood
164,2025-01-31 23:59:56,Manhattan,Midtown South
163,2025-01-31 23:59:57,Manhattan,Midtown North
162,2025-01-31 23:59:08,Manhattan,Midtown East
161,2025-01-31 23:59:58,Manhattan,Midtown Center
160,2025-01-31 21:54:05,Queens,Middle Village
16,2025-01-31 23:48:33,Queens,Bayside
159,2025-01-31 23:38:39,Bronx,Melrose South
158,2025-01-31 23:59:47,Manhattan,Meatpacking/West Village West
157,2025-01-31 18:08:16,Queens,Maspeth
156,2025-01-29 16:01:46,Staten Island,Mariners Harbor
155,2025-01-31 21:10:07,Brooklyn,Marine Park/Mill Basin
